rec_id,first_name,middle_name,last_name,gender,current_age,birth_date,street_address,suburb,postcode,state,phone,email
R194162,floyd,verner,brigman,m,82,10/11/1938,12  Highcliff  Road,Upwey,3158,VIC,03  9843  3809,brigman.floyd@yahoo.com
R190183,carol,lunsford,arnold,f,29,26/1/1991,2  Melrose  Parade,Clovelly,2031,NSW,02  8292  9943,carol.arnold@aol.com
R119185,alexandria,clow,harris,f,33,19/1/1987,207  Castledoyle  Road,Armidale,2350,NSW,02  2135  0769,harris67@mail.com.au
R602794,johri,antonifo,mcartbur,m,45,26/1/1985,31  Zanow  Sgreet,Caboolturr,4514,QLD,07  o585  2382,john.mcarthvr@aol.com
R155283,cameron,griffin,cross,m,35,16/6/1985,133  Inglis  Street,Wynyard,7325,TAS,03  3314  3232,cameron.cross@aol.com
R592875,alexandzer,ricbard,masom,m,32,2/2/1888,Anglestey  Road,Humpdy  Doo,0831,NT,08  2922  6021,qbkpmdftns@aoi.com
R181594,ryshonda,cox,staples,f,44,3/11/1976,3  Sturt  Valley  Road,Stirling,5152,SA,08  0123  8055,staples33@yahoo.com
R198322,samiran,tyrone,greer,m,28,15/12/1992,5  Warner  Avenue,New  Norfolk,7140,TAS,03  2743  6740,samiran.greer@hotmail.com
R695535,fifki,ashey,faircloty,f,56,31/3/1g64,25  Ada jStreet,North R yde,2110,NSW,02  0453  s633,jrmhdcnakn@a0l.com
R192693,sondra,cassidy,lyons,f,26,2/11/1994,14  Clifton  Road,Clovelly,2031,NSW,02  3694  7460,lcipjscioa@hotmail.com
R126618,pasqua|e,lew,edems,m,47,2/8/1073,19  Moahphett  Street,Mount  Bamker,5z51,SA,08  6334  o261,bfjkjsmtdp@mail.com.au
R178453,angela,renee,waters,f,33,2/5/1987,11  Sturt  Close,Grange,5022,SA,08  0230  9420,waters.angela@aol.com
R675520,patricia,g,thomas,f,39,14/6/1981,4  York  Street,Bellerive,7018,TAS,03  5831  0046,thomas39@mail.com.au
R188672,michqel,li,aretos,m,11,22/7/2909,338  Harb0rne  Street,Osbore  Park,60|7,WA,08  4t51  9825,eatgfstjqq@aol.com
R171192,larry,norman,marrs,m,18,31/7/2002,75  Inglis  Street,Mudgee,2850,NSW,02  1596  0452,marrs64@yahoo.com
R175349,shel|ey,jeab,jame5,f,39,13/3/1981,Von  Deedt  Street,Bundaperg,4600,QLD,07  3535  4582,shelle7.james@gmail.com
R325695,maevin,orland0,letchwotrh,m,24,7/3/1996,240  Whitej  Road,Paraoowie,51o8,SA,08  15i7  4881,letchworth99@mai1.com.au
R104255,richard,wayne,sisco,m,43,18/3/1977,6  Jacksonia  Circuit,Nightcliff,0810,NT,08  6393  5273,sisco76@hotmail.com
R173936,deanna,sotera,plott,f,42,17/10/1978,,Canning  Vale,6155,WA,08  2770  2257,plott61@aol.com
R725695,john,adams,wise,m,27,16/4/1993,2  Avery  Avenue,Dianella,6059,WA,08  5531  2787,wise.john@hotmail.com
R117215,christopher,thomas,evans,m,18,7/3/2002,7  Brookes  Street,Nambour,4560,QLD,07  0703  6051,christopher27@aol.com
R108086,marian,miller,moore,f,21,24/3/1999,65  Sphinx  Avenue,Revesby,2212,NSW,02  7321  1075,marian28@aol.com
R142085,ruth,louise,blaisdell,f,27,26/11/1993,21  Margaret  Street,Yarraman,4614,QLD,07  5873  7074,blaisdell.ruth@hotmail.com
R290192,jane,mcintyre,wade,f,56,4/2/1964,3  Tranmere  Close,Robina,4226,QLD,07  4486  0974,jane1@yahoo.com
R109385,michelle,adcock,swanson,f,42,14/12/1978,38  Halliday  Street,Eagleby,4207,QLD,07  1328  3359,swanson97@yahoo.com
R274413,wililam,franklim,whltehead,m,41,9/7/|979,10  Blakkmore  Road,Tennan t Creek,086o,NT,08  84q0  7430,
R637068,ashleigh,m,candelario,f,34,4/2/1986,3  Barossa  Avenue,Vermont,3133,VIC,03  1024  6162,ashleigh51@aol.com
R173298,kelly,jean,brock,f,26,17/7/1994,16  Tom  Roberts  Avenue,Conder,2906,ACT,02  6528  5720,brock.kelly@mail.com
R661827,vvalter,dhomas,williamst,m,49,20/3/1g71,25  Cruixhank  Street,Wannkassa,2907,ACT,,williams.walter@mail.coj.au
R173611,sandy,troy,flores,m,31,8/11/1989,175  Lake  Albert  Road,Kooringal,2650,NSW,02  4084  2111,flores98@gmail.com
R139624,george,jeffery,voncanon,m,37,10/3/1983,9  Mullen  Street,Woodridge,4114,QLD,07  6534  7051,altcffsgcj@gmail.com
R104619,bonnie,gwyn,dyne,f,19,8/2/2001,20  Rose  Street,Annandale,2038,NSW,02  0813  6803,dyne.bonnie@gmail.com
R826308,john,hudson,chesney,m,17,29/11/2003,128  Tooth  Street,Pialba,4655,QLD,07  8360  0626,chesney71@aol.com
R143692,trayc,lamomt,sandr8dge,m,41,11/10/|979,36  Fir5t  Street,Gawleah  South,5178,SA,08  4348  7q84,tracy23@mail.c0m
R158075,martha,warren,stalls,f,29,4/1/1991,31  Cosmos  Street,Glenroy,3046,VIC,03  9848  2153,stalls.martha@gmail.com
R573858,jamea,eeic,grday,m,38,26/7/l982,6  Dianne  Steeet,Lokanlea,4136,QLD,07  4330  53q7,james5@ao1.com
R157920,anthony,scott,reese,m,31,19/6/1989,1  Hell  Court,Collie,6225,WA,08  2223  5255,reese52@hotmail.com
R111013,reginald,paul,fowler,m,35,15/2/1985,6  Myers  Street,Crawley,6009,WA,08  9596  8013,fowler.reginald@hotmail.com
R759307,gregroy,karland,hovir,m,27,22/1|/1993,1728  David  Lo  Way,Coolum  Beakh,4s73,QLD,07  4079  71z5,gregory82@gmai|.com
R543215,linda,lashawn,cokley,f,46,9/11/1974,2  Bent  Street,North  Sydney,2060,NSW,02  6921  7638,linda.cokley@gmail.com
R114804,stephanie,m,crump,f,32,16/11/1988,138  Lightwood  Crescent,Meadow  Heights,3048,VIC,03  6993  4942,stephanie.crump@aol.com
R190073,stacy,maxine,pusch,f,47,20/7/1973,62  Parkway  Avenue,Raymond  Terrace,2324,NSW,02  3759  8699,stacy36@mail.com.au
R667160,marv,z,heu5ton,f,26,22/2/|994,83  Unkala  Road,Blacksmits,228l,NSW,02  2545  4735,heuston10@hotmail.com
R308713,shrrry,,lekgett,f,33,2/6/1i87,12  Hvbble  Street,Carnarvon  kSouth,67o1,WA,08  813q  6053,sherryq@gmail.com
R301365,nichplas,cha4les,cheoson,m,30,31/12/1090,42  Spemcer  Street,Cowand:lla,5o33,SA,08  1q13  9291,chesson60@hotmsil.com
R838271,dewey,ford,stancell,m,29,16/2/1991,,Whitfield,4870,QLD,07  1529  4809,dewey.stancell@aol.com
R109753,danielle,shante,bibler,f,45,12/12/1975,Sittella  Road,Howard  Springs,0835,NT,08  7661  5923,danielle42@mail.com.au
R184216,frank,leela,melvin,m,20,19/4/2000,12  Jackson  Avenue,Ulverstone,7315,TAS,03  8711  6712,melvin95@yahoo.com
R486515,kathy,lane,hall,f,32,25/12/1988,112  McMahons  Road,Frankston,3199,VIC,03  0284  4354,hall.kathy@gmail.com
R580599,franki,khandler,li5a,f,27,6/1/1g93,164  Agnez  Street,George  Towri,7256,TAS,03  16r6  4991,frankie.lira@hotmaio.com
R106535,jodmy,carrolk,andersom,m,39,9/1/198|,87  Penxurst  Street,Pebshurst,222z,NSW,02  6424  0043,jody.anderson@gmajl.com
R156997,anne,jeon,jownson,f,50,20/3/19u0,34  Broughtori  Street,Camten,2s70,NSW,02  6981  4q69,gopkrmpkfa@iiiail.com
R255362,zacharv,turmer,nigfa|l,m,31,4/|/1989,101  Judit  Street,Crestiiiead,413z,QLD,,nigfaol.zachary@mail.com
R155110,james,edward,weeks,m,26,21/10/1994,36  Longwood  Avenue,Leanyer,0812,NT,08  6872  4155,hpetohetoh@gmail.com
R663339,r'gaio,roberson,bobbitt,m,44,27/11/1976,333  Camp  Mountain  Road,Camp  Mountain,4520,QLD,07  0956  4246,oikmcpasib@yahoo.com
R186670,chadwick,j,ferrell,m,21,17/7/1999,3  Glyn  Court,Cheltenham,3192,VIC,03  2058  5519,ferrell23@mail.com
R326256,josephine,anne,ogle,f,27,29/6/1993,5  Andrew  Street,Prahran,3181,VIC,03  4709  5137,ogle37@mail.com.au
R140529,john,j,matheny,m,36,27/2/1984,37  Everett  Street,Brunswick  West,3055,VIC,03  2966  4435,john94@aol.com
R386261,roberw,eugenqe,bradaher,m,43,23/l0/1977,79  Dartbr0ok  Road,Aueurn,214q,NSW,,bradsher.robert@yahoo.c0m
R812597,robe4t,wilsln,tayllor,m,30,11/1/l990,115  Simd  Road,Bundaber9,467o,QLD,07  8056  w297,robert.tayjor@mail.com.au
R729499,edward,christopher,ash,m,43,6/4/1977,Mount  Lyall  Road,Yannathan,3981,VIC,03  1834  4854,edward.ash@aol.com
R159636,gady,moraj,kel1ey,m,35,13/7/q985,37  McMahonst  Street,St  Armaud,3q78,VIC,03  35|0  8760,kelley89@gmail.corn
R172386,cashawna,kathleen,nance,f,29,16/10/1991,725  Pacific  Highway,Niagara  Park,2250,NSW,02  2779  9161,cashawna99@yahoo.com
R107818,keith,frank,rosser,m,32,4/10/1988,15  Mayhew  Crescent,Jingili,0810,NT,08  5690  8590,hsoaqqkdef@mail.com
